wpid,title,author1first,author1mid,author1last,author1workplace,author2first,author2mid,author2last,author2workplace,author3first,author3mid,author3last,author3workplace,author4first,author4mid,author4last,author4workplace,author5first,author5mid,author5last,author5workplace,abstract,creationdate,sectionurlid,papernumber,filefunction,jel,keywords,suppress
1230,A snapshot of the age distribution of psychological  well-being in the United States,Arthur,A.,Stone,Stony Brook University,Joseph,E.,Schwartz,Stony Brook University and Columbia University Medical Center,Joan,E.,Broderick,Stony Brook University,Angus,NULL,Deaton,Princeton University,NULL,NULL,NULL,NULL,"Psychological well-being (WB) includes a person?s overall appraisal  of his or her life (Global WB) and affective state (Hedonic WB), and  it is considered a key aspect of the health of individuals and  groups. Several cross-sectional studies have documented a relation  between Global WB and age. Little is known, however, about the  age distribution of Hedonic WB. It may yield a different view of  aging because it is less influenced by the cognitive reconstruction  inherent in Global WB measures and because it includes both positive  and negative components of WB. In this study we report on  both Global and Hedonic WB assessed in a 2008 telephone survey  of 340,847 people in the United States. Consistent with prior studies,  Global WB and positive Hedonic WB generally had U-shaped  age profiles showing increasedWB after the age of 50 years. However,  negative Hedonic WB variables showed distinctly different  and stronger patterns: Stress and Anger steeply declined from the  early 20s, Worry was elevated through middle age and then declined,  and Sadness was essentially flat. Unlike a prior study, men  and women had very similar age profiles of WB. Several measures  that could plausibly covary with the age-WB association (e.g., having  children at home) did not alter the age-WB patterns. Global  and Hedonic WB measures appear to index different aspects of WB  over the lifespan, and the postmidlife increase in WB, especially in  Hedonic WB, deserves continued exploration.",2010-06,CHWB,Stone_Schwartz_Broderick_Deaton_Snapshot_of_the_age_distribution_of_psychological_wellbeing_PNAS_April2010.pdf,NULL,"D030, D600, D630, I000, C830","Psychological well-being, Hedonic well-being, Global well-being",0
1231,Housing Insecurity among Urban Fathers,Marah,A.,Curtis,Boston University,Amanda,B.,Geller,Columbia University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"This article examines housing insecurity among an understudied population: urban fathers of young children. Housing security is of particular importance for vulnerable populations, and urban fathers, many of whom face unemployment and monitoring from the child support and criminal justice systems, often rely on this security to mitigate the socioeconomic challenges they face. By assessing the extent and type of housing insecurity affecting urban fathers, we identify a potentially serious source of disadvantage facing families more broadly.  A year after the birth of a new child, fully a quarter of fathers reported significant housing insecurities with 3% experiencing homelessness. Results suggest that from 9 ? 12% of fathers are doubling up, relying on others for living expenses, and moving more than once every year. Finally, only half of fathers had been able to maintain housing security over the three to four years since the focal child?s birth.",2010-05,CRCW,WP10-05-FF.pdf,NULL,"D190, D600, I000, I320, J120","demographics, urban environment, homeless",0
1232,A Sort of Homecoming: Incarceration and the housing security of urban men,Amanda,NULL,Geller,Columbia University,Marah,A.,Curtis,Boston University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"While individuals returning from prison face many barriers to successful re-entry, among the most serious are the challenges they face in securing housing. Housing has long been recognized as a prerequisite for stable employment, access to social services, and other aspects of individual and family functioning. The formerly incarcerated face several administrative and de facto restrictions on their housing options; however, little is known about the unique instabilities that they face. We use a longitudinal survey of urban families to examine housing insecurity among nearly 3,000 urban men, including over 1,000 with incarceration histories. We find that men recently incarcerated face greater housing insecurity, including both serious hardships such as homelessness, and precursors to homelessness such as residential turnover and relying on others for housing expenses. Their increased risk is tied both to diminished annual earnings and other factors, including, potentially, evictions from public housing supported by Federal ?one-strike? policies.",2010-06,CRCW,WP10-06-FF.pdf,NULL,"J120, J150, I000, D130, D630","incarceration, housing, social exclusion",0
1233,Chronic and Proximate Depression among Mothers:  Implications for Child Well-being,Kristin,NULL,Turney,University of Michigan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"This paper uses data from the Fragile Families and Child Well-being survey (N = 2,427) to examine the association between the chronicity and timing of maternal depression and child well-being. Maternal depression, particularly chronic depression, is linked to internalizing and externalizing problem behaviors in children, and children have worse behaviors when mothers report proximate depression. Children of depressed and nondepressed mothers have similar cognitive outcomes. Results also suggest that boys are more vulnerable to maternal depression than girls, and that socioeconomic advantage does not buffer children from the consequences of maternal depression. Given that impairments in early childhood may place children on disadvantaged life course trajectories, early intervention and treatment of depressed mothers may help ameliorate social disparities.",2010-06,CRCW,WP10-07-FF.pdf,NULL,"J120, J150, I000, D130, D630",depression; development or outcomes; Fragile Families and Child Well-being; intergenerational transmission; transition to parenthood,0
1234,Institutions and National Development in Latin America:  A Comparative Study,Alejandro,NULL,Portes,Princeton University,Lori,D.,Smith,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"We review the theoretical and empirical literatures on the role of institutions on national development as a prelude to present a more rigorous and measurable definition of the concept and a methodology to study this relationship at the national and subnational levels. The existing research literature features conflicting definitions of the concept of ?institutions? and empirical tests based mostly on reputational indices, with countries as units of analysis. The present study?s methodology is based on a set of five strategic organizations studied comparatively in five Latin American countries. These include key federal agencies, public administrative organizations, and stock exchanges. Systematic analysis of results show a pattern of differences between economically-oriented institutions and those entrusted with providing basic services to the general population. Consistent differences in institutional quality also emerge across countries, despite similar levels of economic development. Using the algebraic methods developed by Ragin, we test six hypotheses about factors determining the developmental character of particular institutions. Implications of results for theory and for methodological practices of future studies in this field are discussed.",2010-01,CMD,wp1001.pdf,NULL,"C010, D200, E010, N160","institutions, development, organizations, Latin America, Boolean algebra",0
1235,Moving Ahead in Madrid: Aspirations and Expectations in the Spanish Second Generation,Alejandro,NULL,Portes,Princeton University,Rosa,NULL,Aparicio,"Instituto Universitario Ortega y Gassett, Madrid",William,NULL,Haller,Clemson University,Erik,NULL,Vickstrom,Princeton University,NULL,NULL,NULL,NULL,"This paper examines determinants of aspirations and expectations among children of immigrants based on a statistically representative sample of 3,375 second generation youths interviewed in 101 public and private secondary schools in metropolitan Madrid. We review the past literature on status attainment in general and aspirations and expectations, in particular, and draw from it a set of six hypotheses to guide the analysis. Most theoretical statements in this field have been developed on the basis of U.S. data; studies in other immigrant-receiving countries, especially outside the Anglophone world, have been scarce. The study thus provides an opportunity to test and refine existing hypotheses in a different national context. We present breakdowns of educational and occupational aspirations and expectations by gender, parental education and type of school attended. This is followed by multivariate regressions of all four dependent variables on these three plus other predictors suggested by the research literature. This analysis ends with structural equation models recursive and non-recursive that provide an integrated theoretical statement of the causal structure of ambition in the Spanish context. Implications of our findings for theory and policy are examined. Suggestions for future research in this field are discussed.",2010-02,CMD,wp1002.pdf,NULL,"D100, D630, H310, J110, N340","aspirations, expectations, children of immigrants, adaptation, Spain",0
1236,America and its Immigrants: A Game of Mirrors,Alejandro,NULL,Portes,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"After a lapse of over half a century, the United States has again become a country of immigration. In 1990, the foreign-born population reached 19.8 million or 7.9 percent of the total. By 2008, the number had grown to 39.3 million or 13 percent of the total. Although not yet reaching the situation a century ago, when immigrants accounted for 15 percent of the American population, that figure is being approached fast while the impact of contemporary immigration is significant and growing.2  The public image of contemporary immigration has been colored to a large extent by the Third World origins of most recent arrivals. Because the sending countries are generally poor, many Americans believe that the immigrants themselves are uniformly poor and uneducated. Their move is commonly portrayed as a one-way escape from hunger, want, and persecution and their arrival on U.S. shores as not too different from that of the tired, ""huddled masses"" that Emma Lazarus immortalized at the base of the Statue of Liberty. A common exercise is to compare this ""new"" immigration with the ""old"" inflow of the beginnings of the twentieth century. Similarities include the predominantly urban destination of most newcomers, their concentration in a few port cities, and their willingness to accept the lowest paid jobs. Differences are more frequently stressed, however, for the ""old"" immigration was overwhelmingly European and white; while the present inflow is, to a large extent, nonwhite and comes from countries of the Third World.",2010-04,CMD,wp1004.pdf,NULL,"D100, D630, H310, J110, N320","aspirations, expectations, immigrants, adaptation, United States",0
1237,Life on the Edge: Immigrants Confront the American Health System,Alejandro,NULL,Portes,Princeton University,Patricia,NULL,Fern�ndez-Kelly,Princeton University,Donald,W.,Light,University of Medicine and Dentistry of New Jersey,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"We examine the interaction between the immigration and health systems of the United States on the basis of a study of forty health care delivery institutions in Florida, California, and New Jersey. We list and examine barriers to care encountered by the foreign-born, especially unauthorized immigrants, and the systemic contradictions of widespread demand for their labor with absence of legal channels to regulate the flow and provide it with a modicum of legal protection. The inaccessibility and high costs of the American health system have forced the uninsured poor into a series of coping strategies. Our study uncovered a set of coping mechanisms specific to the immigrant population. We describe them and examine their interaction with U.S. commercial medicine. The analysis concludes with a focus on regional differences that highlight the importance of local politics and history in ameliorating or hardening the precarious health situation confronted by the foreign-born and the ways in which this situation plays back on the communities where they settle.",2010-05,CMD,wp1005.pdf,NULL,"D100, D630, H310, J110, N320","unauthorized immigration, health insurance, language assimilation, transnationalism",0
1238,Institutional change and development in Chilean market society,Guillermo,NULL,Wormald,Catholic University of Chile,Daniel,NULL,Brieba,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"This paper?s main thesis is that Chile?s developmental performance of recent decades was underpinned by significant and systematic institutional change, and that this change is closely related with its transformation from a state-centered society to a market centered one.  The analysis will focus on the changing process in a set of institutions highly relevant for economic growth and social redistribution. In this regard, our interest is to specify the mechanisms that account for continuity and discontinuity in institutional structure, which according to some relevant authors is an important target of economic sociology (Nee and Swedberg, 2005). Additionally we will also discuss the impact of these changes over socio economic development.",2010-04,CMD,wp1003c.pdf,NULL,"D400, E010, H500, N160","Chile, economic development",0
1239,"DEVELOPMENT OPPORTUNITIES:  POLITICS, THE STATE AND INSTITUTIONS  IN DOMINICAN DEVELOPMENT IN THE XXI CENTURY",Wilfredo,NULL,Lozano,Ibero-American University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"This article summarizes the principal findings of the studies on institutions and development as they refer to the Dominican case study, in the context of the Project Institutions and Development in Latin America, which is directed by Alejandro Portes of the University of Princeton. The project analyses the national experiences of development in Mexico, Colombia, Argentina, Chile and the Dominican Republic, with regard to the contribution to national development in four specific institutional domains: the Stock Exchange, postal service, health and civil aviation. In the Dominican case, besides civil aviation and the postal service as in the other Latin American case studies, the public health system and not a specific organization in the system as well as the internal taxation system and not the stock exchange were studied.",2010-04,CMD,wp1003d.pdf,NULL,"D400, E010, H500, N160","latin america, development, Mexico, Colombia, Argentina, Chile, Dominican Republic, Alejandro Portes",0
1240,Institutions and Development in Mexico,Jose Luis,NULL,Velasco,National Autonomous University of Mexico,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"In summarizing the five Mexican cases studied for the Institutions and Development project,  The case studies summarized here were conducted from 2005 to 2008, and this paper refers mainly to that period. Yet, whenever possible, information coming from published documents or statistical reports was updated. This paper seeks to answer two main questions. First, what are the main characteristics of the five institutions analyzed, what differences and similarities are there among them? Second, what does the analysis of these institutions say about the situation of development-related institutions in Mexico?",2010-04,CMD,wp1003e.pdf,NULL,"D400, E010, H500, N160","development, Mexico",0
1241,La paradoja colombiana: un an�lisis institucionalista denso,C�sar,NULL,Rodr�guez Garavito,University of the Andes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Quince a�os despu�s de abandonar Colombia, donde vivi� entre 1952 y 1956, Albert  Hirschman public� una demoledora rese�a de un libro sobre la pol�tica y el Estado  colombianos, escrito por un joven acad�mico estadounidense, James Payne. En la  rese�a, incluida en A Bias for Hope, Hirschman se viene lanza en ristre contra la tesis  del libro (Payne 1968).",2010-04,CMD,wp1003b.pdf,NULL,NULL,NULL,0
1242,Instituciones y desarrollo en Argentina,Alejandro,NULL,Grimson,National University General San Martin,Ana,NULL,Castellani,National University General San Martin,Alexandre,NULL,Roig,National University General San Martin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"El caso del desarrollo argentino ha presentado para diversos autores la peculiaridad del fracaso. Es frecuente comparar el lugar que ocupaba la Argentina en el concierto latinoamericano a inicios del siglo XX y a inicios del siglo XXI para mostrar a trav�s de diferentes indicadores un proceso de declinaci�n relativa. Una amplia literatura sobre la historia nacional y sobre el proceso de desarrollo adjudica a diferentes factores ese contraste entre el potencial del pa�s (por recursos naturales pero tambi�n por nivel educativo de la poblaci�n) y su proceso real. La devastaci�n econ�mica de la �ltima dictadura militar, la ?d�cada perdida? del ochenta o el neoliberalismo de los noventa, vendr�an a agregarse a procesos anteriores. La puja intersectorial, la imposibilidad de un grupo econ�mico social de construir hegemon�a desde la crisis del treinta en adelante, los vaivenes del peronismo-antiperonismo, son factores se�alados.",2010-04,CMD,wp1003a.pdf,NULL,NULL,NULL,0
1243,The Squam Lake Report: Fifteen Economists in Search of Financial Reform,Alan,S.,Blinder,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"The Squam Lake Report is a volume by economists for economists. It offers the fruits of the labors of 15 top economists who met at Squam Lake, New Hampshire, to discuss financial reform. While somewhat disjointed, and avoiding many important issues, the book is nonetheless a tour du force. Its many recommendations derive from two basic principles: that reformers need to think systemically, and that third-party costs stemming from systemic risk need to be internalized. And its approach is just what you would expect from a group of academic economists. It asks (and answers) questions like: Where did incentives go wrong? What were the sources of market failure? How can we better protect society against negative externalities?",2010-08,CEPS,209blinder.pdf,NULL,"B400, D020, D620, E200, A310","market failure, financial reform, finance reform, negative externalities, third party coats",0
1244,Altruistic Behavior and Habit Formation,Harvey,S.,Rosen,Princeton University,Stephen,T.,Sims,STS Associates,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"This paper examines whether altruistic behavior is habit forming. We take advantage of a data set that includes a rich set of information concerning individuals? donations of cash and time as adults as well as information about whether they were involved with charitable activities when they were young. The basic premise is that if altruistic behavior when young is a good predictor of such behavior in adulthood, then this is consistent with the notion that altruistic behavior is habit forming.  Using U.S. data, we examine both donations of money and time, and find that engaging in charitable behavior when young is a strong predictor of adult altruistic behavior, ceteris paribus. A major issue in the interpretation of this result is that the correlation between youthful and adult altruistic behavior may be due to some third variable that affects both. While it is impossible to rule out such a possibility, we are able to control for family influences that likely could affect lifetime attitudes toward altruism. We find that, even taking this factor into account, altruistic behavior as a youth plays a significant role in explaining adult behavior. This result applies to donations of money and time to a variety of types of non-profit organizations.",2010-07,CEPS,210rosen.pdf,NULL,"D030, D190, D830, L310","altruistic behavior, donations, nonprofit fundraising",0
1245,Multiproduct Firms and Price-Setting: Theory and Evidence from U.S. Producer Prices,Saroj,NULL,Bhattarai,Pennsylvania State University,Raphael,NULL,Schoenle,Brandeis University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"In this paper, we establish three new facts about price-setting by multi-product  firms and contribute a model that can match our findings. On the empirical side, using  micro-data on U.S. producer prices, we first show that firms selling more goods adjust  their prices more frequently but on average by smaller amounts. Moreover, the higher  the number of goods, the lower is the fraction of positive price changes and the more  dispersed the distribution of price changes. Second, we document substantial synchro-  nization of price changes within firms across products and show that synchronization  plays a dominant role in explaining pricing dynamics. Third, we find that within-firm  synchronization of price changes increases as the number of goods increases. On the  theoretical side, we present a state-dependent pricing model where multi-product firms  face both aggregate and idiosyncratic shocks. When we allow for firm-specific menu  costs and trend in ation, the model matches the empiricalfindings.",2010-07,CEPS,211schoenle.pdf,NULL,E30; E31; L11,Multi-product firms; Number of Goods; State-dependent pricing; U.S. Producer prices,0
1246,OMNIVORES VERSUS SNOBS?  MUSICAL TASTES IN THE UNITED STATES AND FRANCE,Ang�le,NULL,Christin,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Two major theories structure debates on the relationship between socioeconomic status and aesthetic tastes. The distinction hypothesis, developed by French scholars with French data, claims that high-status people with highbrow tastes shun popular culture. The ?omnivores? hypothesis, developed by U.S. sociologists with American data, states that highbrow respondents have on the contrary more tolerant and omnivorous musical attitudes than other respondents. Do these propositions reflect real differences between the United States and France with regard to socioeconomic variation in musical tastes, or differing theoretical traditions in the two countries?  This research provides some support for both views. An examination of data on musical tastes (Survey of Public Participation in the Arts 2002, Enqu�te sur les Pratiques Culturelles des Fran�ais 2008) reveals a very similar organization of aesthetic judgment in the U.S. and France: in both countries highbrow respondents are omnivorous. But significant differences between the two countries are also documented for older cohorts. Older cohorts follow a pattern of distinction in France, but not in the United States. This finding delineates how once-real differences between the two countries in the relationship between socioeconomic status and aesthetic tastes may have been blunted by historical change.",2010-07,CACPS,WP40-Christin.pdf,NULL,"Z110, D120, H310, O520","aesthetic tastes, distinction, omnivorousness, France",0
1247,Street Pavement: Results from an Infrastructure Experiment in Mexico,Marco,NULL,Gonzalez-Navarro,UC Berkeley,Climent,NULL,Quintana-Domeque,Universitat d'Alacant,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Urban peripheries in many developing countries lack basic local public goods like  street pavement, water, sewerage and electricity. We design an experiment of street  pavement provision in a Mexican urban area and estimate impacts on a set of indicators  obtained from a household survey. Our ndings show that houses in streets that were  paved increased substantially in value, by 15% according to professional appraisals,  and by 24% according to homeowners. Households living in streets that were paved  obtained more credit, had higher per capita expenditures, increased motor vehicle  ownership and were more likely to have made home improvements.",2010-07,IRS,dsp01zs25x8454,NULL,"C010, D120, H000, H540, R210","public infrastructure improvements, Mexico, urban infrastructure, housing value, house prices",0
1248,The Signaling Value of a High School Diploma,Paco,NULL,Martorell,RAND,Damon,NULL,Clark,"University of Florida, NBER, IZA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Although economists acknowledge that various indicators of educational attainment (e.g., highest  grade completed, credentials earned) might serve as signals of a worker?s productivity, the practical  importance of education-based signaling is not clear. In this paper we estimate the signaling value  of a high school diploma, the most commonly held credential in the U.S. To do so, we compare the  earnings of workers that barely passed and barely failed high school exit exams, standardized tests  that, in some states, students must pass to earn a high school diploma. Since these groups should, on  average, look the same to firms (the only difference being that ""barely passers"" have a diploma while  ""barely failers"" do not), this earnings comparison should identify the signaling value of the diploma.  Using linked administrative data on earnings and education from two states that use high school exit  exams (Florida and Texas), we estimate that a diploma has little effect on earnings. For both states, we  can reject that individuals with a diploma earn eight percent more than otherwise-identical individuals  without one; combining the state-specific estimates, we can reject signaling values larger than five or six  percent. While these confidence intervals include economically important signaling values, they exclude  both the raw earnings difference between workers with and without a diploma and the regression-adjusted  estimates reported in the previous literature.",2010-08,IRS,dsp01zp38wc63z,NULL,"J000, J240, E240, D190","education, productivity, earnings, income,",0
1249,Maternal Depression and Childhood Health Inequalities,Kristin,NULL,Turney,University of Michigan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"An increasing body of literature documents considerable disparities in the health and wellbeing of young children in the United States, though maternal depression is one important, yet often overlooked, determinant of children's health. In this paper, I find that maternal depression, particularly depression that is recurrent or chronic, puts children at risk of having unfavorable health when they are five years old. This finding persists despite accounting for a host of demographic characteristics of the mothers and children, as well as adjusting for a lagged indicator of children's health. Results suggest that socioeconomic status, as well as maternal health and health behaviors, account for a large portion of the association between maternal depression and children's health. There is also some evidence that maternal depression is more consequential for children born to unmarried mothers than children born to married mothers.",2010-07,CRCW,WP10-08-FF.pdf,NULL,"D190, D600, I000, J120, J130","depression, children, mothers, mental health, children's health, maternal depression",0
1250,The Ideological Mapping of American Legislatures,Boris,NULL,Shor,University of Chicago,Nolan,NULL,McCarty,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"The development and elaboration of the spatial theory of voting has contributed  greatly to the study of legislative decision making and elections. Statistical models  that estimate the spatial locations of individual legislators have been a key contributor  to this success (Poole and Rosenthal 1997; Clinton, Jackman and Rivers 2004). In ad-  dition to applications to the U.S. Congress, spatial models have been estimated for the  Supreme Court, U.S. presidents, a large number of non-U.S. legislatures, and supra-  national organizations. But, unfortunately, a potentially fruitful laboratory for testing  spatial theories of policymaking and elections, the American states, has remained rel-  atively unexploited. Two problems have limited the empirical application of spatial  theory to the states. The first is that state legislative roll call data has not yet been  systematically collected for all states over time. Second, because ideal point models  are based on latent scales, comparisons of ideal points across states or chambers within  a state are dicult. This paper reports substantial progress on both fronts. First,  we have obtained the roll call voting data for all state legislatures from the mid-1990s  onward. Second, we exploit a recurring survey of state legislative candidates to enable  comparisons across time, chambers, and states as well as with the U.S. Congress. The  resulting mapping of America's state legislatures has tremendous potential to address  numerous questions not only about state politics and policymaking, but legislative pol-  itics in general.",2010-07,RPPE,american%20legislatures%20july%202010.pdf,NULL,"D020, D720, H000, H500, H700","spatial theory of voting, state legistatures, roll call data, politics and policymaking",0
1251,Contagious Adverse Selection,Stephen,NULL,Morris,Princeton University,Hyun,NULL,Song Shin,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"We illustrate the corrosive effect of even small amounts of adverse  selection in an asset market and how it can lead to the total breakdown  of trade. The problem is the failure of ?market con?dence?, de?ned  as approximate common knowledge of an upper bound on expected  losses. Small probability events can unravel market con?dence. We  discuss the role of contagious adverse selection and the problem of  ?toxic assets?in the recenfi?nancial crisis.",2010-05,ET,fi001.pdf,NULL,"H300, G300, G100, E010, C400","market confidence, adverse selection, trade, market condence, financial crisis",0
1252,The Robustness of Robust Implementation,Moritz,NULL,Meyer-ter-Vehn,NULL,Stephen,NULL,Morris,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,We show that a mechanism that robustly implements optimal outcomes in a one-dimensional supermodular environment continues to robustly implement e-optimal outcomes in all close-by environments.  Robust implementation of e-outcomes is thus robust to small perturbations of the environment.  This is in contrast to ex-post implementation which is not robust in this sense as only trivial social choice functions are ex-post implementable in generic environments.,2010-06,ET,me001.pdf,NULL,"E200, C010, D400, H300, O400","robust implementation, social choice,",0
1253,Acoustic Projection and the Politics of Sound,Seth,NULL,Cluett,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"This working paper presents material taken from the second chapter of my dissertation, Loudspeaker: Acoustic Display as Aesthetic Material. My dissertation interrogates the complex status of the loudspeaker as a model for thinking about the nature of acoustic amplification in media technologies. In the vast  majority of its applications, the loudspeaker is a component within other media the telephone, radio, television, video, computer, and public address systems and although there is a rich critical and historical literature treating each of these host media, the loudspeaker itself is often subsumed without reference under more abstracted treatments of sound generally. Thus, though the loudspeaker is variously  discussed in art history, musicology, and media theory, it has never had a proper written history. Drawing on texts from critical theory, art and architectural history, and musical aesthetics, my thesis attempts to (re)situate the technology of the loudspeaker within existing media and aesthetic discourse. I aim to construct a media-critical history of the loudspeaker as a device by observing parallels between its use as a  mass-market content delivery apparatus and its deployment by musicians and artists working in a range of media art, architecture, music, performance, and installation since the turn of the century.",2010-07,CACPS,WP41-Cluett.pdf,NULL,Z110,"music, authority, loudspeaker, ammpliication",0
1254,Evidence on the impact of minimum wage laws in an  informal sector: Domestic workers in South Africa,Taryn,NULL,Dinkelman,Princeton University,Vimal,NULL,Ranchhod,University of Cape Town,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"What happens when a previously uncovered labor market is regulated? We exploit the in-  troduction of a minimum wage in South Africa and variation in the intensity of this law  to identify increases in wages and formal contract coverage, and no signicant eects on  employment on the intensive or extensive margins for domestic workers. These large, partial  responses to the law are somewhat surprising, given the lack of monitoring and enforcement  in this informal sector. We interpret these changes as evidence that external sanctions are  not necessary for new labor legislation to have a signicant impact on informal sectors of  developing countries, at least in the short-run.",2010-07,RPDS,dinkelman_ranchhod_minwages_0710.pdf,NULL,"J080, J210, J300, J800","Minimum wage, informal sector, Africa",0
1255,The Eects of Rural Electrication on Employment:  New Evidence from South Africa,Taryn,NULL,Dinkelman,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"This paper estimates the impact of electrification on employment growth by analyzing South  Africa's mass roll-out of electricity to rural households. Using several new data sources and two  different identification strategies (an instrumental variables strategy and a fixed effects approach),  nd that electrification significantly raises female employment within 5 years. This new infras-  tructure appears to increase hours of work for men and women, while reducing female wages and  increasing male earnings. Several pieces of evidence suggest that household electrification raises  employment by releasing women from home production and enabling micro-enterprizes. Migration  behavior may also be affected.",2010-08,RPDS,dinkelman_electricity_0810.pdf,NULL,"J080, J160, J200, J600, J160","electrification, labor markets, women, electricity, employment, South Africa",0
1256,Family Structure Transitions and Changes in  Maternal Resources and Well-Being,Cynthia,NULL,Osborne,University of Texas,Lawrence,NULL,Berger,University of Wisconsin,Katherine,NULL,Magnuson,University of Wisconsin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"This paper uses data from the Fragile Families and Child Wellbeing study to examine  whether family instability is associated with changes in perceived social support, material  hardship, maternal depression, and parenting stress among mothers of young children. In  addition to accounting for the number of transitions a mother experiences over the first five years  of her child?s life, we pay close attention to the type and timing of these transitions. We find that  mothers who transition to cohabitation or marriage with their child?s biological father experience  declines in material hardship and that those who transition to cohabitation or marriage with  another man exhibit modest declines in both material hardship and depression. Mothers who exit  cohabiting or marital relationships encounter decreases in perceived social support and increases  in material hardship, depression, and parenting stress. Overall, our results suggest that both the  type and, to a much lesser degree, the timing of family structure transitions may influence  maternal well-being.",2010-09,CRCW,WP10-09-FF.pdf,NULL,"I000, I320, J120, J130, J160","material hardship, motherhood, depression, social support, stress, family structure, Father involvement, fragile families, longitudinal data, well-being",0
1257,Fathers? Involvement and Fathers? Well-being  over Children?s First Five Years,Marcia,J.,Carlson,University of Wisconsin,Kimberly,J.,Turner,University of Wisconsin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Despite the growing scholarly attention to fathers? roles in family life, the consequences of  fathers? involvement with children for men?s well-being have been little explored. Using data from the  Fragile Families and Child Wellbeing Study (N=3,880), we evaluate how fathers? involvement (time,  engagement and responsibility) is linked to fathers? well-being with respect to health and mental health,  social integration, and economic outcomes. We evaluate resident and non-resident fathers separately,  using data from three survey waves about 1, 3 and 5 years after a baby?s birth. Our results indicate that  fathers? involvement is not strongly related to paternal health and mental health, but greater involvement  is linked with better relationship quality with the child?s biological mother for both resident and nonresident  fathers. With respect to economic outcomes, there is modest evidence that greater involvement  is linked to lower earnings for resident fathers and to higher earnings for non-resident fathers.",2010-09,CRCW,WP10-10-FF.pdf,NULL,"I000, I320, J120, J130, J160","Father involvement, fragile families, longitudinal data, well-being",0
